date,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8
2017-02-23,2.2046889792780826,3.3762112919044274,2.4162684587998067,4.191432408856258,3.89847556885878,3.767200657440349,3.09536440747838,4.589317024478797
2017-02-24,2.1993242309671936,3.374145911667615,2.4248811532144963,4.179429770150957,3.9032732205025047,3.7612552528239505,3.092562693802125,4.581914883841728
2017-02-25,2.1920789649764707,3.3650613050955447,2.43393519077888,4.177271986652727,3.913110558509354,3.7565836682656752,3.0957223318783473,4.58041848866511
2017-02-26,2.2059721679628304,3.3551967990025418,2.449301059598347,4.187373326234667,3.9377064062307268,3.7568047513589002,3.1098375973149586,4.601692952436666
2017-02-27,2.228431792529806,3.362337856166487,2.4722458421715046,4.203295574765336,3.9619812796963347,3.785873303784003,3.1374650443430663,4.637283446708191
2017-02-28,2.228516643396186,3.3668175178221884,2.4668881872735677,4.216769260036395,3.967900072942799,3.797535172864374,3.1427719173388167,4.6508893056622735
2017-03-01,2.190658163709898,3.3341869300857843,2.4726804990167515,4.21675482558967,3.979480150767735,3.8040413432038034,3.1531446126277807,4.676400778896024
2017-03-02,2.1808644313898267,3.3315322704263237,2.4769271398633648,4.222067825887423,3.981106106335075,3.804113436633587,3.1546888498597836,4.680561088897621
2017-03-03,2.1616041458018245,3.3238757171637454,2.4779507024627088,4.23078418486405,3.9941053560081428,3.8041092739338285,3.1511807397485896,4.682886934888088
2017-03-04,2.1449266592697107,3.325083870066196,2.47533238218583,4.249003979664222,3.9981990561340264,3.8062222870341293,3.1587796049255594,4.691051253254684
2017-03-05,2.1531848117907453,3.3299307916697662,2.478910558533549,4.2700347675055035,4.003382322587068,3.8239783319385614,3.1684884054392177,4.705422835373238
2017-03-06,2.1926307840098036,3.350620790948489,2.487600574736235,4.286665798237664,4.02026148510219,3.8447555090442087,3.1919694940074232,4.72374638207754
2017-03-07,2.2184852186573596,3.363541088711962,2.496784603168737,4.2990711302031395,4.0259227956718115,3.849916456233604,3.207120537031805,4.740110130531272
2017-03-08,2.2204061337052963,3.3687779365976636,2.505307906965134,4.310774532031012,4.0278358276498265,3.83617311930058,3.212464438892212,4.727029090373774
2017-03-09,2.280207789390584,3.3725466549901717,2.506626536113184,4.313462752373379,4.035798552680521,3.8273819894644814,3.2164394169575896,4.711693502609166
2017-03-10,2.219854760542981,3.379481456857851,2.5055753253783455,4.309426411463052,4.035318517133423,3.8186704473830333,3.2242182680476277,4.706227821944572
2017-03-11,2.2134363152643957,3.393031120357029,2.506804402218894,4.304511880455825,4.030674205652511,3.8213851889282116,3.2293385892420634,4.710282978997854
2017-03-12,2.2093107907807177,3.401152265998758,2.5178626395880843,4.317980487391022,4.02953030866076,3.8244592224723566,3.238268147017517,4.722967200234878
2017-03-13,2.2273128703511564,3.429283209235399,2.539838691366527,4.339042180393466,4.04302268265168,3.8300570847118225,3.2676220702796988,4.753830488273794
2017-03-14,2.230319787746903,3.4330188996227227,2.5597154852386943,4.35825119267439,4.039887133800901,3.8372177840849133,3.2856291969146096,4.769208338709102
2017-03-15,2.2411337785914838,3.4261135193775494,2.5439462124526537,4.363697506789691,4.023295079214051,3.844417024133316,3.286432757562277,4.761538851064778
2017-03-16,2.275258814215337,3.419720141601522,2.532781104570267,4.3648280187806305,4.019446404180419,3.8523099711424647,3.2824889606200722,4.76105196045371
2017-03-17,2.2654760464070978,3.4166101023843587,2.529569980419697,4.37412143569276,4.023885955519757,3.854159745258018,3.278702781731798,4.763868281978096
2017-03-18,2.245451509631591,3.4142644434610983,2.536742129762194,4.3858488556604485,4.021843776191996,3.858028299708721,3.277547968644087,4.765753031063063
2017-03-19,2.216941458231173,3.409673808864315,2.552929245343252,4.400306294594208,4.020654768581189,3.861417372548177,3.277955161970954,4.769501849637303
2017-03-20,2.22129917706168,3.426016779215136,2.5666492512353964,4.412744221653474,4.021627306742094,3.867288045796739,3.2852404664664636,4.788400423510771
2017-03-21,2.219764735857848,3.426129272256299,2.565231529726356,4.423728102117246,4.02283228065106,3.87212942906606,3.292254605013685,4.790914998806306
2017-03-22,2.2102283026746017,3.4181498790348677,2.552989373701042,4.418289053350826,4.024136605935091,3.860506632909726,3.278193339651655,4.786178307369747
2017-03-23,2.200725699262271,3.419849963706129,2.5510758582581476,4.415817545144794,4.026193782044188,3.8510122959350057,3.264121391038707,4.78758466091471
2017-03-24,2.1944159760226434,3.4231334484453364,2.551503069525697,4.41820006065757,4.026110754130531,3.846928955020443,3.256623412940537,4.787969900967052
